,Hardware,Name,Price,SKU,Info,Image
68,Motherboard,Z390 PRO4 Intel LGA 1151 ATX Motherboard,104.99,833079,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/512562_833079_01_front_thumbnail.jpg
69,Motherboard,B365 Pro4 Intel LGA 1151 ATX Motherboard,95.99,081869,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/620922_081869_01_front_thumbnail.jpg
70,Motherboard,ROG Strix Z390-F Gaming LGA 1151 ATX Intel Motherboard,209.99,888115,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/601984_888115_01_front_thumbnail.jpg
71,Motherboard,B460M-PLUS TUF GAMING (WiFi) Intel LGA 1200 mATX Motherboard,119.99,162651,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/624368_162651_01_front_thumbnail.jpg
72,Motherboard,Z490-I ROG Strix Intel LGA 1200 Mini-ITX Motherboard,299.99,106088,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623213_106088_01_front_thumbnail.jpg
73,Motherboard,B360 PRIME B360M-C/CSM Intel LGA 1151 mATX Motherboard,89.99,127894,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/507846_127894_01_front_thumbnail.jpg
74,Motherboard,Z490 AORUS Master Intel LGA 1200 ATX Motherboard,329.99,114215,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623870_114215_01_front_thumbnail.jpg
75,Motherboard,B460 PRIME B460-PLUS Intel LGA 1200 ATX Motherboard,109.99,129114,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/625035_129114_01_front_thumbnail.jpg
76,Motherboard,Z490I MEG Unify Intel LGA 1200 mini-ITX Motherboard,269.99,112375,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623784_112375_01_front_thumbnail.jpg
77,Motherboard,Z490M-ITX/ac Intel LGA 1200 mini-ITX Motherboard,149.99,112425,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623751_112425_01_front_thumbnail.jpg
78,Motherboard,B460M AORUS PRO Intel LGA 1200 mATX Motherboard,99.99,145920,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/626147_145920_01_front_thumbnail.jpg
79,Motherboard,H470 AORUS PRO AX Intel LGA 1200 ATX Motherboard,159.99,145888,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/626144_145888_01_front_thumbnail.jpg
80,Motherboard,Z490 PRIME Plus Intel LGA 1200 mATX Motherboard,149.99,106104,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623216_106104_01_front_thumbnail.jpg
81,Motherboard,B460 MAG Tomahawk Intel LGA 1200 ATX Motherboard,139.99,150227,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/626248_150227_01_front_thumbnail.jpg
82,Motherboard,B460 PRIME B460M-A Intel LGA 1200 mATX Motherboard,99.99,127480,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/624362_127480_01_front_thumbnail.jpg
83,Motherboard,Z490 MEG Unify Intel LGA 1200 ATX Motherboard,299.99,112326,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623782_112326_01_front_thumbnail.jpg
84,Motherboard,B460M PRO Intel LGA 1200 mATX Motherboard,79.99,150235,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/626260_150235_01_front_thumbnail.jpg
85,Motherboard,H470M Pro Intel LGA 1200 mATX Motherboard,99.99,145953,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/626150_145953_01_front_thumbnail.jpg
86,Motherboard,Z490 PRO4 Intel LGA 1200 ATX Motherboard,129.99,112409,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623730_112409_01_front_thumbnail.jpg
87,Motherboard,H310CM-HDV/M.2 Intel LGA 1151 mATX Motherboard,61.99,081885,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/620921_081885_01_front_thumbnail.jpg
88,Motherboard,Z490I AORUS Ultra Intel LGA 1200 Mini-ITX Motherboard,269.99,114173,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623892_114173_01_front_thumbnail.jpg
89,Motherboard,B460 PRO B460M-C/CSM Intel LGA 1200 mATX Motherboard,109.99,129106,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/625034_129106_01_front_thumbnail.jpg
90,Motherboard,B460 AORUS PRO AC Intel LGA 1200 ATX Motherboard,149.99,145912,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/626146_145912_01_front_thumbnail.jpg
91,Motherboard,H370M-Plus/CSM Prime Intel LGA 1151 mATX Motherboard,104.99,811000,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/509120_811000_01_front_thumbnail.jpg
92,Motherboard,H410 PRIME H410M-A/CSM Intel LGA 1200 ATX Motherboard,79.99,127464,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/624371_127464_01_front_thumbnail.jpg
93,Motherboard,H470I AORUS PRO AX Intel LGA 1200 Mini-ITX Motherboard,169.99,145904,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/626143_145904_01_front_thumbnail.jpg
94,Motherboard,H470M DS3H Intel LGA 1200 ATX Motherboard,109.99,145896,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/626142_145896_01_front_thumbnail.jpg
95,Motherboard,H470 PRIME H470M-PLUS/CSM Intel LGA 1200 ATX Motherboard,109.99,127498,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/624374_127498_01_front_thumbnail.jpg
96,Motherboard,Z490M PRO4 Intel LGA 1200 mATX Motherboard,139.99,112391,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623747_112391_01_front_thumbnail.jpg
97,Motherboard,Z390 Aorus Elite Intel LGA 1151 ATX Motherboard,159.99,832964,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/512624_832964_01_front_thumbnail.jpg
98,Motherboard,Z390 MEG Godlike Intel LGA 1151 eATX Motherboard,307.19,833012,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/512746_833012_01_front_thumbnail.jpg
99,Motherboard,X299-Deluxe II Prime Intel LGA 2066 ATX Motherboard,399.99,868950,LGA 2066,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/514323_868950_01_front_thumbnail.jpg
100,Motherboard,Z390M-Pro TUF Gaming WiFi Intel LGA 1151 mATX Motherboard,184.99,831313,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/512521_831313_01_front_thumbnail.jpg
101,Motherboard,X570-E ROG Strix Gaming AMD AM4 ATX Motherboard,299.99,955542,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/608551_955542_01_front_thumbnail.jpg
102,Motherboard,X570 ROG Crosshair VIII Hero (WI-FI) AMD AM4 ATX Motherboard,379.99,955617,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/608549_955617_01_package_thumbnail.jpg
103,Motherboard,X570 Aorus Master WiFi AMD AM4 ATX Motherboard,359.99,956318,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/608667_956318_01_front_thumbnail.jpg
104,Motherboard,B550-F ROG Strix Gaming AMD AM4 ATX Motherboard,189.99,127522,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/624593_127522_01_front_thumbnail.jpg
105,Motherboard,B550-F ROG Strix Gaming (WiFi) AMD AM4 ATX Motherboard,209.99,127506,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/624592_127506_01_front_thumbnail.jpg
106,Motherboard,X570 MEG Unify AMD AM4 ATX Motherboard,299.99,124073,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/624694_124073_01_front_thumbnail.jpg
107,Motherboard,X570-Pro Prime AMD AM4 ATX Motherboard,239.99,955583,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/608546_955583_01_front_thumbnail.jpg
